P0_kind,method,P0_ncols,iter,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
sketched_tent_T,power_iz,1000,1,0.938001,0.695813,0,0,0,1.5708,0.442496
sketched_tent_T,power_iz,1000,2,0.928466,0.57534,0,0,0,1.5708,0.527258
sketched_tent_T,power_iz,1000,3,0.92161,0.486195,0,0,0,1.5708,0.529994
sketched_tent_T,power_iz,1000,4,0.915006,0.417938,0,0,0,1.5708,0.669477
sketched_tent_T,power_iz,1000,5,0.907153,0.362909,21,0,0.042,1.5708,0.670617
sketched_tent_T,power_iz,1000,6,0.89744,0.31716,54,0,0.108,1.5708,0.687126
sketched_tent_T,power_iz,1000,8,0.876312,0.24746,113,21,0.226,1.5708,0.872622
sketched_tent_T,power_iz,1000,10,0.863136,0.199579,163,72,0.326,1.5708,0.94054
sketched_tent_T,power_iz,1000,12,0.852795,0.166336,203,110,0.406,1.5708,1.06028
sketched_tent_T,power_iz,1000,16,0.840473,0.125917,260,180,0.52,1.5708,1.22952
sketched_tent_T,power_iz,1000,20,0.836632,0.102731,297,226,0.594,1.5708,1.78262
tent_T,inverse,1293,0,0.952158,0.840539,0,0,0,1.5708,0.484405
tent_T,inverse,1293,1,0.949204,0.661255,7,0,0.014,1.5708,1.26727
tent_T,inverse,1293,2,0.945484,0.550866,29,15,0.058,1.5708,1.4304
tent_T,inverse,1293,3,0.941639,0.474809,63,28,0.126,1.5708,1.44998
tent_T,inverse,1293,4,0.938385,0.417939,88,53,0.176,1.5708,1.71533
tent_T,inverse,1293,5,0.999994,0.702379,80,52,0.16,0.0188005,2.01065
tent_T,inverse,1293,6,1,0.881144,42,27,0.084,4.2641e-05,2.24035
tent_T,inverse,1293,8,1,0.964071,17,17,0.034,3.13103e-05,2.94498
tent_T,inverse,1293,10,1,0.978001,11,11,0.022,1.0583e-06,3.32523
tent_T,inverse,1293,12,1,0.984108,7,7,0.014,4.93701e-05,4.09105
tent_T,inverse,1293,16,1,0.992,4,4,0.008,4.94216e-08,5.36523
tent_T,inverse,1293,20,1,0.992,4,4,0.008,1.20799e-05,6.63959
gaussian_tent,inverse,1293,0,0.889761,0.876265,0,0,0,1.37101,0.724452
gaussian_tent,inverse,1293,1,0.854134,0.644188,1,0,0.002,1.2407,1.11176
gaussian_tent,inverse,1293,2,0.805632,0.466155,23,11,0.046,1.12914,1.56334
gaussian_tent,inverse,1293,3,0.745731,0.344604,57,23,0.114,1.01429,1.61939
gaussian_tent,inverse,1293,4,0.67699,0.258426,87,50,0.174,0.898245,1.83722
gaussian_tent,inverse,1293,5,0.99997,0.62942,88,56,0.176,0.0541477,2.16782
gaussian_tent,inverse,1293,6,1,0.873827,47,26,0.094,9.88625e-05,2.21499
gaussian_tent,inverse,1293,8,1,0.958117,19,17,0.038,1.73646e-05,2.61116
gaussian_tent,inverse,1293,10,1,0.978002,11,11,0.022,5.20262e-07,3.38958
gaussian_tent,inverse,1293,12,1,0.986005,7,6,0.014,1.15039e-06,3.9424
gaussian_tent,inverse,1293,16,1,0.992,4,4,0.008,0,5.22058
gaussian_tent,inverse,1293,20,1,0.992,4,4,0.008,4.78478e-06,6.33485
