Z,P0_kind,P0_ncols,polynomial,degree,eigspace_err_2,eigspace_err_fro,angle_capture_frac_1pct,n_angle_below_1pct,n_angle_below_0p1pct,r_true,r_comp,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
A,sketched_tent_A,1000,chebyshev_balanced,8,1,0.575943,0.098,49,0,500,1000,0.90841,0.52312,1,0,0.002,1.57077,0.699704
Tsym,gaussian,1000,power_iz,0,0.99097,0.905935,0,0,0,500,1000,0.917319,0.905926,0,0,0,1.43631,0.434376
Tsym,gaussian,1000,power_iz,1,0.966789,0.73796,0,0,0,500,1000,0.851928,0.733742,0,0,0,1.31235,0.421994
Tsym,gaussian,1000,power_iz,2,0.919671,0.553622,0,0,0,500,1000,0.782988,0.52896,0,0,0,1.16724,0.466459
Tsym,gaussian,1000,power_iz,3,0.846306,0.409858,0,0,0,500,1000,0.70719,0.36378,0,0,0,1.00901,0.506453
Tsym,gaussian,1000,power_iz,5,0.642036,0.22543,0.074,37,0,500,1000,0.526142,0.170034,0,0,0,0.697151,0.586576
Tsym,gaussian,1000,power_iz,8,0.346637,0.09265,0.442,221,77,500,1000,0.282822,0.0578727,192,44,0.384,0.353983,0.714345
Tsym,gaussian,1000,power_iz,12,0.135167,0.0297141,0.702,351,232,500,1000,0.109904,0.015673,331,207,0.662,0.135582,0.683437
Tsym,gaussian,1000,power_iz,16,0.0524266,0.0101815,0.856,428,325,500,1000,0.0424606,0.00475197,413,305,0.826,0.0524507,0.800248
Tsym,gaussian,1000,power_iz,20,0.0210294,0.00367051,0.952,476,390,500,1000,0.0167149,0.00155425,474,372,0.948,0.0210309,0.874524
Tsym,gaussian,1000,power_iz,30,0.0127839,0.0018464,0.992,496,441,500,664,0.010866,0.000651425,498,427,0.996,0.0127843,1.07207
Tsym,gaussian,1000,power_iz,50,1,0.634035,0.598,299,298,500,299,1,0.40594,267,241,0.534,1.5708,1.37838
Tsym,gaussian,1000,chebyshev,0,0.99097,0.905935,0,0,0,500,1000,0.917319,0.905926,0,0,0,1.43631,0.400635
Tsym,gaussian,1000,chebyshev,1,0.912685,0.553196,0,0,0,500,1000,0.758501,0.537352,0,0,0,1.14981,0.456533
Tsym,gaussian,1000,chebyshev,2,0.932537,0.466035,0,0,0,500,1000,0.878129,0.394006,0,0,0,1.20138,0.475077
Tsym,gaussian,1000,chebyshev,3,0.939401,0.376979,0.01,5,0,500,1000,0.913717,0.263139,0,0,0,1.22088,0.615552
Tsym,gaussian,1000,chebyshev,5,0.903651,0.227478,0.496,248,100,500,1000,0.891916,0.107817,233,79,0.466,1.12822,0.621436
Tsym,gaussian,1000,chebyshev,8,0.892106,0.145461,0.752,376,291,500,1000,0.88828,0.0466409,373,284,0.746,1.10199,0.687368
Tsym,gaussian,1000,chebyshev,12,0.816286,0.083071,0.882,441,396,500,1000,0.814602,0.0179798,439,395,0.878,0.954953,0.742303
Tsym,gaussian,1000,chebyshev,16,1,0.142163,0.928,464,434,500,490,0.999909,0.0237331,463,432,0.926,1.5708,0.777782
Tsym,gaussian,1000,chebyshev,20,1,0.376829,0.858,429,429,500,429,1,0.145206,399,369,0.798,1.5708,0.839422
Tsym,gaussian,1000,chebyshev,30,1,0.622896,0.612,306,305,500,306,1,0.390325,283,261,0.566,1.5708,1.12262
Tsym,gaussian,1000,chebyshev,50,1,0.792465,0.372,186,186,500,186,1,0.629234,173,160,0.346,1.5708,1.63856
Tsym,gaussian,1000,chebyshev_balanced,3,0.999934,0.60764,0,0,0,500,1000,0.999903,0.537225,0,0,0,1.55927,1.21996
Tsym,sketched_tent_A,1000,power_iz,0,0.949458,0.750616,0,0,0,500,1000,0.840335,0.74907,0,0,0,1.25151,0.475034
Tsym,sketched_tent_A,1000,power_iz,1,0.869504,0.522652,0,0,0,500,1000,0.739347,0.505169,0,0,0,1.0542,0.661213
Tsym,sketched_tent_A,1000,power_iz,2,0.764757,0.358843,0,0,0,500,1000,0.635489,0.322157,0,0,0,0.870665,1.32516
Tsym,sketched_tent_A,1000,power_iz,3,0.644878,0.250599,0,0,0,500,1000,0.527937,0.206157,0,0,0,0.700864,0.510206
Tsym,sketched_tent_A,1000,power_iz,5,0.416971,0.12711,0.212,106,0,500,1000,0.337631,0.0893499,84,0,0.168,0.43011,0.596235
Tsym,sketched_tent_A,1000,power_iz,8,0.195697,0.0492864,0.554,277,126,500,1000,0.159718,0.0291911,259,105,0.518,0.196968,3.03857
Tsym,sketched_tent_A,1000,power_iz,12,0.0707248,0.0154253,0.788,394,274,500,1000,0.0588418,0.0078199,383,256,0.766,0.0707839,0.787604
Tsym,sketched_tent_A,1000,power_iz,16,0.0264459,0.00523942,0.918,459,359,500,1000,0.0224757,0.002371,454,347,0.908,0.026449,0.821479
Tsym,sketched_tent_A,1000,power_iz,20,0.0102058,0.00187992,0.996,498,415,500,1000,0.00885023,0.000777137,500,406,1,0.010206,0.980809
Tsym,sketched_tent_A,1000,power_iz,30,0.0215246,0.00294859,0.974,487,435,500,624,0.0170203,0.00102006,484,414,0.968,0.0215263,1.19944
Tsym,sketched_tent_A,1000,power_iz,50,1,0.640312,0.59,295,294,500,295,1,0.413811,262,235,0.524,1.5708,1.39503
Tsym,sketched_tent_A,1000,chebyshev,0,0.949458,0.750616,0,0,0,500,1000,0.840335,0.74907,0,0,0,1.25151,0.420188
Tsym,sketched_tent_A,1000,chebyshev,1,0.747681,0.347241,0,0,0,500,1000,0.610392,0.318605,0,0,0,0.844563,0.519886
Tsym,sketched_tent_A,1000,chebyshev,2,0.816026,0.315053,0,0,0,500,1000,0.749552,0.238336,0,0,0,0.954502,0.501641
Tsym,sketched_tent_A,1000,chebyshev,3,0.834361,0.267929,0.152,76,0,500,1000,0.808167,0.16663,63,0,0.126,0.986972,0.5423
Tsym,sketched_tent_A,1000,chebyshev,5,0.782381,0.159891,0.578,289,150,500,1000,0.772394,0.0684224,285,143,0.57,0.898479,0.660034
Tsym,sketched_tent_A,1000,chebyshev,8,0.755906,0.102077,0.796,398,319,500,1000,0.753538,0.029976,396,315,0.792,0.857038,0.690301
Tsym,sketched_tent_A,1000,chebyshev,12,0.632792,0.0552786,0.906,453,410,500,1000,0.63211,0.0111123,453,408,0.906,0.685154,0.784498
Tsym,sketched_tent_A,1000,chebyshev,16,1,0.16748,0.932,466,439,500,486,0.999979,0.0312441,461,430,0.922,1.5708,0.692544
Tsym,sketched_tent_A,1000,chebyshev,20,1,0.389872,0.848,424,424,500,424,1,0.155695,394,362,0.788,1.5708,0.838506
Tsym,sketched_tent_A,1000,chebyshev,30,1,0.626099,0.608,304,303,500,304,1,0.395255,281,255,0.562,1.5708,1.08668
Tsym,sketched_tent_A,1000,chebyshev,50,1,0.793725,0.37,185,185,500,185,1,0.631584,172,157,0.344,1.5708,1.62948
Tsym,sketched_tent_A,1000,chebyshev_balanced,3,0.999595,0.442893,0,0,0,500,1000,0.999511,0.36609,0,0,0,1.54232,0.57804
Tsym,sketched_tent_T,1000,power_iz,0,1,0.856202,0,0,0,500,1000,0.956216,0.849554,0,0,0,1.5708,0.391476
Tsym,sketched_tent_T,1000,power_iz,1,1,0.72834,0,0,0,500,1000,0.938001,0.695813,0,0,0,1.5708,0.425152
Tsym,sketched_tent_T,1000,power_iz,2,1,0.63758,0,0,0,500,1000,0.928466,0.57534,0,0,0,1.5708,0.4422
Tsym,sketched_tent_T,1000,power_iz,3,1,0.571823,0,0,0,500,1000,0.92161,0.486195,0,0,0,1.5708,0.531199
Tsym,sketched_tent_T,1000,power_iz,5,1,0.476489,0.172,86,0,500,1000,0.907153,0.362909,21,0,0.042,1.5708,0.709251
Tsym,sketched_tent_T,1000,power_iz,8,1,0.37479,0.406,203,96,500,1000,0.876312,0.24746,113,21,0.226,1.5708,0.663601
Tsym,sketched_tent_T,1000,power_iz,12,1,0.291696,0.578,289,204,500,1000,0.852795,0.166336,203,110,0.406,1.5708,0.793947
Tsym,sketched_tent_T,1000,power_iz,16,1,0.247247,0.678,339,270,500,1000,0.840473,0.125917,260,180,0.52,1.5708,0.884109
Tsym,sketched_tent_T,1000,power_iz,20,1,0.221087,0.742,371,314,500,1000,0.836632,0.102731,297,226,0.594,1.5708,1.05629
Tsym,sketched_tent_T,1000,power_iz,30,1,0.247372,0.814,407,368,500,472,0.957174,0.0990321,345,287,0.69,1.5708,1.08921
Tsym,sketched_tent_T,1000,power_iz,50,1,0.661816,0.562,281,280,500,281,1,0.445258,241,215,0.482,1.5708,1.49765
Tsym,sketched_tent_T,1000,chebyshev,0,1,0.856202,0,0,0,500,1000,0.956216,0.849554,0,0,0,1.5708,0.408577
Tsym,sketched_tent_T,1000,chebyshev,1,1,0.639247,0,0,0,500,1000,0.918188,0.586673,0,0,0,1.5708,0.487461
Tsym,sketched_tent_T,1000,chebyshev,2,1,0.579702,0,0,0,500,1000,0.96937,0.477389,0,0,0,1.5708,0.587042
Tsym,sketched_tent_T,1000,chebyshev,3,1,0.519506,0.154,77,0,500,1000,0.986083,0.381588,22,0,0.044,1.5708,0.540162
Tsym,sketched_tent_T,1000,chebyshev,5,1,0.403633,0.492,246,135,500,1000,0.993076,0.233521,167,53,0.334,1.5708,1.05345
Tsym,sketched_tent_T,1000,chebyshev,8,1,0.315416,0.702,351,284,500,1000,0.998002,0.139671,297,213,0.594,1.5708,0.795146
Tsym,sketched_tent_T,1000,chebyshev,12,1,0.229146,0.83,415,375,500,1000,0.997923,0.0744182,390,333,0.78,1.5708,1.01455
Tsym,sketched_tent_T,1000,chebyshev,16,1,0.300037,0.878,439,412,500,455,0.999999,0.102365,397,357,0.794,1.5708,0.958134
Tsym,sketched_tent_T,1000,chebyshev,20,1,0.449444,0.798,399,398,500,399,1,0.212935,347,311,0.694,1.5708,0.97137
Tsym,sketched_tent_T,1000,chebyshev,30,1,0.651153,0.576,288,287,500,288,1,0.429755,255,232,0.51,1.5708,1.0559
Tsym,sketched_tent_T,1000,chebyshev,50,1,0.802496,0.356,178,178,500,178,1,0.646165,161,148,0.322,1.5708,1.74115
Tsym,sketched_tent_T,1000,chebyshev_balanced,3,1,0.688025,0,0,0,500,1000,0.999942,0.59739,0,0,0,1.5708,3.00538
