Z,P0_kind,P0_ncols,polynomial,degree,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
Tsym,gaussian,1000,chebyshev,30,1,0.390325,283,261,0.566,0.00102228,1.85984
Tsym,gaussian,1000,chebyshev,50,1,0.629234,173,160,0.346,0.000546844,2.85148
Tsym,gaussian,1000,chebyshev_balanced,3,0.999903,0.537225,0,0,0,1.55927,0.521015
Tsym,sketched_tent_A,1000,power_iz,0,0.840335,0.74907,0,0,0,1.25151,0.309729
Tsym,sketched_tent_A,1000,power_iz,1,0.739347,0.505169,0,0,0,1.0542,0.360183
Tsym,sketched_tent_A,1000,power_iz,2,0.635489,0.322157,0,0,0,0.870665,0.430661
Tsym,sketched_tent_A,1000,power_iz,3,0.527937,0.206157,0,0,0,0.700864,0.504341
Tsym,sketched_tent_A,1000,power_iz,5,0.337631,0.0893499,84,0,0.168,0.43011,3.25708
Tsym,sketched_tent_A,1000,power_iz,8,0.159718,0.0291911,259,105,0.518,0.196968,0.73606
Tsym,sketched_tent_A,1000,power_iz,12,0.0588418,0.0078199,383,256,0.766,0.0707839,0.969824
Tsym,sketched_tent_A,1000,power_iz,16,0.0224757,0.002371,454,347,0.908,0.026449,1.29985
Tsym,sketched_tent_A,1000,power_iz,20,0.00885023,0.000777137,500,406,1,0.010206,1.52271
Tsym,sketched_tent_A,1000,power_iz,30,0.0170203,0.00102006,484,414,0.968,0.0215263,2.07299
Tsym,sketched_tent_A,1000,power_iz,50,1,0.413811,262,235,0.524,0.00201373,2.83042
Tsym,sketched_tent_A,1000,chebyshev,0,0.840335,0.74907,0,0,0,1.25151,0.322477
Tsym,sketched_tent_A,1000,chebyshev,1,0.610392,0.318605,0,0,0,0.844563,0.353033
Tsym,sketched_tent_A,1000,chebyshev,2,0.749552,0.238336,0,0,0,0.954502,0.474152
Tsym,sketched_tent_A,1000,chebyshev,3,0.808167,0.16663,63,0,0.126,0.986972,0.465813
Tsym,sketched_tent_A,1000,chebyshev,5,0.772394,0.0684224,285,143,0.57,0.898479,0.610655
Tsym,sketched_tent_A,1000,chebyshev,8,0.753538,0.029976,396,315,0.792,0.857038,0.737613
Tsym,sketched_tent_A,1000,chebyshev,12,0.63211,0.0111123,453,408,0.906,0.685154,1.01496
Tsym,sketched_tent_A,1000,chebyshev,16,0.999979,0.0312441,461,430,0.922,0.0735618,1.15866
Tsym,sketched_tent_A,1000,chebyshev,20,1,0.155695,394,362,0.788,0.0006419,1.37956
Tsym,sketched_tent_A,1000,chebyshev,30,1,0.395255,281,255,0.562,0.00221007,1.86346
Tsym,sketched_tent_A,1000,chebyshev,50,1,0.631584,172,157,0.344,0.000576,2.77894
Tsym,sketched_tent_A,1000,chebyshev_balanced,3,0.999511,0.36609,0,0,0,1.54232,0.464228
Tsym,sketched_tent_T,1000,power_iz,0,0.956216,0.849554,0,0,0,1.5708,0.281826
Tsym,sketched_tent_T,1000,power_iz,1,0.938001,0.695813,0,0,0,1.5708,0.394201
Tsym,sketched_tent_T,1000,power_iz,2,0.928466,0.57534,0,0,0,1.5708,0.441877
Tsym,sketched_tent_T,1000,power_iz,3,0.92161,0.486195,0,0,0,1.5708,0.477105
Tsym,sketched_tent_T,1000,power_iz,5,0.907153,0.362909,21,0,0.042,1.5708,0.635943
Tsym,sketched_tent_T,1000,power_iz,8,0.876312,0.24746,113,21,0.226,1.5708,0.704709
Tsym,sketched_tent_T,1000,power_iz,12,0.852795,0.166336,203,110,0.406,1.5708,0.864125
Tsym,sketched_tent_T,1000,power_iz,16,0.840473,0.125917,260,180,0.52,1.5708,1.20265
Tsym,sketched_tent_T,1000,power_iz,20,0.836632,0.102731,297,226,0.594,1.5708,1.43394
Tsym,sketched_tent_T,1000,power_iz,30,0.957174,0.0990321,345,287,0.69,0.627089,1.97404
Tsym,sketched_tent_T,1000,power_iz,50,1,0.445258,241,215,0.482,0.00237803,5.6383
Tsym,sketched_tent_T,1000,chebyshev,0,0.956216,0.849554,0,0,0,1.5708,0.31039
Tsym,sketched_tent_T,1000,chebyshev,1,0.918188,0.586673,0,0,0,1.5708,0.425119
Tsym,sketched_tent_T,1000,chebyshev,2,0.96937,0.477389,0,0,0,1.5708,0.474439
Tsym,sketched_tent_T,1000,chebyshev,3,0.986083,0.381588,22,0,0.044,1.5708,0.594639
Tsym,sketched_tent_T,1000,chebyshev,5,0.993076,0.233521,167,53,0.334,1.5708,0.703947
Tsym,sketched_tent_T,1000,chebyshev,8,0.998002,0.139671,297,213,0.594,1.5708,0.819039
Tsym,sketched_tent_T,1000,chebyshev,12,0.997923,0.0744182,390,333,0.78,1.5708,1.57006
Tsym,sketched_tent_T,1000,chebyshev,16,0.999999,0.102365,397,357,0.794,0.0433142,1.3234
Tsym,sketched_tent_T,1000,chebyshev,20,1,0.212935,347,311,0.694,0.00139353,1.51147
Tsym,sketched_tent_T,1000,chebyshev,30,1,0.429755,255,232,0.51,0.00101942,1.82426
Tsym,sketched_tent_T,1000,chebyshev,50,1,0.646165,161,148,0.322,0.000593675,2.87692
Tsym,sketched_tent_T,1000,chebyshev_balanced,3,0.999942,0.59739,0,0,0,1.5708,0.564046
